repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
10,0.6238410596026489,0.6055886366982189,0.740166751019274,0.5519425725621049,0.740166751019274,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.6238410596026489,0.6055886366982189,0.740166751019274,0.5519425725621049,0.740166751019274,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.6238410596026489,0.6055886366982189,0.740166751019274,0.5519425725621049,0.740166751019274,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.6238410596026489,0.6055886366982189,0.740166751019274,0.5519425725621049,0.740166751019274,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.6238410596026489,0.6055886366982189,0.740166751019274,0.5519425725621049,0.740166751019274,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.6238410596026489,0.6055886366982189,0.740166751019274,0.5519425725621049,0.740166751019274,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.8046357615894039,0.6316021269319199,0.5804920225526118,0.5196961033772783,0.5804920225526118,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5]"
10,0.8341611479028698,0.6550228483372923,0.5536381299181846,0.5103202572631882,0.5536381299181846,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333]"
10,0.8472925594078691,0.6944314050826369,0.5458801567488951,0.5122910667825306,0.5458801567488951,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5]"
10,0.8535520770620111,0.6758141919645363,0.5386864669278002,0.5078421398459798,0.5386864669278002,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5]"
10,0.8110129997547216,0.6628094595078106,0.5759976306484433,0.5160088866452623,0.5759976306484433,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.8208816225165563,0.6484709638660405,0.5667418724326946,0.5131488821060906,0.5667418724326946,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.491869918699187, 0.5461832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5]"
10,0.8282620368713085,0.6537509750135507,0.5595525957332783,0.5103171533518333,0.5595525957332783,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.491869918699187, 0.5461832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.525, 0.5, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5]"
10,0.8338852097130245,0.6548269565907043,0.5542956556481552,0.5085840902952219,0.5542956556481552,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.491869918699187, 0.5461832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.525, 0.5, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5]"
10,0.8115400873608565,0.6495888374532057,0.5740691764323168,0.5131966947916987,0.5740691764323168,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.491869918699187, 0.5461832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.525, 0.5, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.8177534386143658,0.6532660382610209,0.5684640612376284,0.5115591779411534,0.5684640612376284,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.491869918699187, 0.5461832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.525, 0.5, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5]"
10,0.8228186359939584,0.6584872205611255,0.5638216433964902,0.5102379934053639,0.5638216433964902,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.491869918699187, 0.5461832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.525, 0.5, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5]"
10,0.827066866054262,0.6568353340318044,0.5599534909764307,0.5091364667607992,0.5599534909764307,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.491869918699187, 0.5461832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.525, 0.5, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5, 0.5, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5208333333333334, 0.5, 0.5, 0.5789473684210527, 0.5, 0.5]"
10,0.8306810319264606,0.6610078870395282,0.5565178760791535,0.5079872199151441,0.5565178760791535,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.5277777777777778, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5, 0.5, 0.6052631578947368, 0.5, 0.5, 0.49624060150375937, 0.5, 0.525, 0.5238095238095238, 0.5, 0.5, 0.5294117647058824, 0.5526315789473684, 0.5, 0.5333333333333333, 0.5555555555555556, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5263157894736842, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.491869918699187, 0.5461832061068703, 0.5, 0.5, 0.5769230769230769, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.525, 0.5, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5, 0.5, 0.5178571428571429, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5, 0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.5, 0.5178571428571429, 0.525, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5526315789473684, 0.5, 0.5, 0.5277777777777778, 0.5178571428571429, 0.5211832061068703, 0.5238095238095238, 0.5, 0.5384615384615384, 0.5, 0.5263157894736842, 0.5, 0.5, 0.5, 0.5137921022067364, 0.5211832061068703, 0.5238095238095238, 0.5208333333333334, 0.5, 0.5, 0.5789473684210527, 0.5, 0.5, 0.5, 0.5137921022067364, 0.525, 0.5238095238095238, 0.5208333333333334, 0.5, 0.5294117647058824, 0.5263157894736842, 0.5, 0.5]"
